Starting price: $10.00
On day 1, price is: $11.07
On day 2, price is: $11.05
On day 3, price is: $12.61
On day 4, price is: $12.22
On day 5, price is: $11.91
On day 6, price is: $11.76
On day 7, price is: $11.21
On day 8, price is: $10.90
On day 9, price is: $12.60
On day 10, price is: $12.27
On day 11, price is: $12.85
On day 12, price is: $12.73
On day 13, price is: $12.82
On day 14, price is: $14.71
On day 15, price is: $15.49
On day 16, price is: $15.34
On day 17, price is: $14.98
On day 18, price is: $15.28
On day 19, price is: $14.59
On day 20, price is: $14.10
On day 21, price is: $13.44
On day 22, price is: $12.88
On day 23, price is: $12.51
On day 24, price is: $12.20
On day 25, price is: $11.82
On day 26, price is: $12.88
On day 27, price is: $12.83
On day 28, price is: $12.62
On day 29, price is: $14.33
On day 30, price is: $13.66
On day 31, price is: $13.08
On day 32, price is: $14.56
On day 33, price is: $15.62
On day 34, price is: $15.04
On day 35, price is: $14.30
On day 36, price is: $14.45
On day 37, price is: $14.08
On day 38, price is: $15.57
On day 39, price is: $15.29
On day 40, price is: $14.79
On day 41, price is: $15.63
On day 42, price is: $14.99
On day 43, price is: $14.89
On day 44, price is: $14.51
On day 45, price is: $16.33
On day 46, price is: $17.93
On day 47, price is: $17.32
On day 48, price is: $16.67
On day 49, price is: $15.88
On day 50, price is: $18.30
On day 51, price is: $19.64
On day 52, price is: $18.90
On day 53, price is: $18.35
On day 54, price is: $19.41
On day 55, price is: $20.65
On day 56, price is: $21.43
On day 57, price is: $22.72
On day 58, price is: $22.31
On day 59, price is: $22.37
On day 60, price is: $21.37
On day 61, price is: $21.31
On day 62, price is: $24.72
On day 63, price is: $25.51
On day 64, price is: $24.49
On day 65, price is: $27.20
On day 66, price is: $27.03
On day 67, price is: $27.02
On day 68, price is: $29.32
On day 69, price is: $33.83
On day 70, price is: $37.92
On day 71, price is: $40.85
On day 72, price is: $38.89
On day 73, price is: $41.09
On day 74, price is: $40.59
On day 75, price is: $46.10
On day 76, price is: $53.44
On day 77, price is: $51.13
On day 78, price is: $50.45
On day 79, price is: $55.56
On day 80, price is: $55.40
On day 81, price is: $53.00
On day 82, price is: $56.57
On day 83, price is: $54.74
On day 84, price is: $62.90
On day 85, price is: $61.27
On day 86, price is: $68.18
On day 87, price is: $66.41
On day 88, price is: $64.14
On day 89, price is: $64.92
On day 90, price is: $64.12
On day 91, price is: $61.50
On day 92, price is: $68.82
On day 93, price is: $67.37
On day 94, price is: $65.57
On day 95, price is: $64.33
On day 96, price is: $63.91
On day 97, price is: $63.58
On day 98, price is: $61.76
On day 99, price is: $60.60
On day 100, price is: $60.39
On day 101, price is: $65.92
On day 102, price is: $65.45
On day 103, price is: $74.23
On day 104, price is: $71.31
On day 105, price is: $75.45
On day 106, price is: $72.72
On day 107, price is: $72.68
On day 108, price is: $77.60
On day 109, price is: $76.57
On day 110, price is: $79.21
On day 111, price is: $76.07
On day 112, price is: $77.46
On day 113, price is: $74.08
On day 114, price is: $78.85
On day 115, price is: $75.64
On day 116, price is: $80.74
On day 117, price is: $90.31
On day 118, price is: $98.25
On day 119, price is: $94.91
On day 120, price is: $109.76
